Date,crowd_level,crowd_status,User_satisfaction,Original_row_index
2020-11-15,0.45,Quiet,5.0,310
2020-11-14,0.95,Packed,1.0,312
2020-11-14,0.95,Packed,1.0,312
2020-11-13,0.75,Packed,5.0,314
2020-11-13,0.75,Packed,3.0,314
2020-11-12,0.3,Quiet,5.0,316
2020-11-10,0.2,Empty,5.0,317
2020-11-08,0.37,Quiet,5.0,318
2020-11-06,0.37,Quiet,4.0,319
2020-11-05,0.44,Quiet,4.0,320
2020-11-04,0.24,Empty,5.0,321
2020-11-01,0.58,Busy,5.0,322
2020-11-01,0.58,Busy,3.0,322
2020-10-30,0.74,Busy,4.0,324
2020-10-30,0.74,Busy,5.0,324
2020-10-29,0.42,Quiet,5.0,326
2020-10-28,0.43,Quiet,4.0,327
2020-10-27,0.29,Quiet,1.0,328
2020-10-27,0.29,Quiet,5.0,328
2020-10-27,0.29,Quiet,5.0,328
2020-10-26,0.51,Busy,3.0,331
2020-10-25,0.71,Busy,5.0,332
2020-10-24,0.88,Packed,3.0,333
2020-10-22,0.5,Busy,1.0,334
2020-10-21,0.4,Quiet,4.0,335
2020-10-20,0.52,Busy,5.0,336
2020-10-20,0.52,Busy,3.0,336
2020-10-19,0.7,Busy,5.0,338
2020-10-16,0.82,Packed,2.0,339
2020-10-16,0.82,Packed,4.0,339
2020-10-16,0.82,Packed,4.0,339
2020-10-15,0.8,Packed,2.0,342
2020-10-15,0.8,Packed,4.0,342
2020-10-14,0.68,Busy,1.0,344
2020-10-14,0.68,Busy,1.0,344
2020-10-14,0.68,Busy,2.0,344
2020-10-14,0.68,Busy,2.0,344
2020-10-12,0.81,Packed,4.0,348
2020-10-12,0.81,Packed,3.0,348
2020-10-12,0.81,Packed,5.0,348
2020-10-11,0.91,Packed,2.0,351
2020-10-11,0.91,Packed,1.0,351
2020-10-10,0.9,Packed,1.0,353
2020-10-10,0.9,Packed,5.0,353
2020-10-10,0.9,Packed,1.0,353
2020-10-09,0.83,Packed,1.0,356
2020-10-08,0.65,Busy,5.0,357
2020-10-07,0.44,Quiet,2.0,358
2020-10-07,0.44,Quiet,5.0,358
2020-10-07,0.44,Quiet,4.0,358
2020-10-07,0.44,Quiet,5.0,358
2020-10-06,0.53,Busy,5.0,362
2020-10-05,0.35,Quiet,3.0,363
2020-10-04,0.67,Busy,5.0,364
2020-10-03,0.97,Packed,5.0,365
2020-10-01,0.2,Empty,5.0,366
2020-10-01,0.2,Empty,5.0,366
2020-09-30,0.19,Empty,3.0,368
2020-09-30,0.19,Empty,5.0,368
2020-09-28,0.36,Quiet,1.0,370
2020-09-28,0.36,Quiet,5.0,370
2020-09-25,0.45,Quiet,3.0,372
2020-09-24,0.34,Quiet,5.0,373
2020-09-23,0.29,Quiet,5.0,374
2020-09-19,0.96,Packed,5.0,375
2020-09-18,0.39,Quiet,5.0,376
2020-09-17,0.35,Quiet,5.0,377
2020-09-14,0.13,Empty,5.0,378
2020-09-14,0.13,Empty,4.0,378
2020-09-13,0.52,Busy,5.0,380
2020-09-12,0.93,Packed,5.0,381
2020-09-11,0.25,Quiet,5.0,382
2020-09-07,0.9,Packed,5.0,383
2020-09-07,0.9,Packed,4.0,383
2020-09-07,0.9,Packed,1.0,383
2020-09-07,0.9,Packed,3.0,383
2020-09-07,0.9,Packed,4.0,383
2020-09-07,0.9,Packed,2.0,383
2020-09-06,0.97,Packed,4.0,389
2020-09-06,0.97,Packed,5.0,389
2020-09-06,0.97,Packed,1.0,389
2020-09-06,0.97,Packed,5.0,389
2020-09-03,0.06,Empty,5.0,393
2020-09-03,0.06,Empty,5.0,393
2020-09-01,0.01,Empty,5.0,395
2020-09-01,0.01,Empty,4.0,395
2020-08-31,0.01,Empty,5.0,397
2020-08-29,0.9,Packed,5.0,398
2020-08-28,0.2,Empty,4.0,399
2020-08-28,0.2,Empty,5.0,399
2020-08-25,0.04,Empty,5.0,401
2020-08-24,0.1,Empty,5.0,402
2020-08-23,0.7,Busy,2.0,403
